Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon
,,,,,clampToGround,-1,0,-1,,
,,,,,clampToGround,-1,0,-1,,
,,,,,clampToGround,-1,0,-1,,
,,,,,clampToGround,-1,0,-1,,
,,,,,clampToGround,-1,0,-1,,
,,,,,clampToGround,-1,0,-1,,
,,,,,clampToGround,-1,0,-1,,
,,,,,clampToGround,-1,0,-1,,
,,,,,clampToGround,-1,0,-1,,
,,,,,clampToGround,-1,0,-1,,
,,,,,clampToGround,-1,0,-1,,
,,,,,clampToGround,-1,0,-1,,
,,,,,clampToGround,-1,0,-1,,
,,,,,clampToGround,-1,0,-1,,
,,,,,clampToGround,-1,0,-1,,
,,,,,clampToGround,-1,0,-1,,
,,,,,clampToGround,-1,0,-1,,
,,,,,clampToGround,-1,0,-1,,
,,,,,clampToGround,-1,0,-1,,
,,,,,clampToGround,-1,0,-1,,
,,,,,clampToGround,-1,0,-1,,
,,,,,clampToGround,-1,0,-1,,
,,,,,clampToGround,-1,0,-1,,
,,,,,clampToGround,-1,0,-1,,
,,,,,clampToGround,-1,0,-1,,
,,,,,clampToGround,-1,0,-1,,
,,,,,clampToGround,-1,0,-1,,
,,,,,clampToGround,-1,0,-1,,
,,,,,clampToGround,-1,0,-1,,
,,,,,clampToGround,-1,0,-1,,
,,,,,clampToGround,-1,0,-1,,
,,,,,clampToGround,-1,0,-1,,
,,,,,clampToGround,-1,0,-1,,
,,,,,clampToGround,-1,0,-1,,
,,,,,clampToGround,-1,0,-1,,
,,,,,clampToGround,-1,0,-1,,
,,,,,clampToGround,-1,0,-1,,
,,,,,clampToGround,-1,0,-1,,
,,,,,clampToGround,-1,0,-1,,
,,,,,clampToGround,-1,0,-1,,
,,,,,clampToGround,-1,0,-1,,
,,,,,clampToGround,-1,0,-1,,
,,,,,clampToGround,-1,0,-1,,
,,,,,clampToGround,-1,0,-1,,
,,,,,clampToGround,-1,0,-1,,
,,,,,clampToGround,-1,0,-1,,
,,,,,clampToGround,-1,0,-1,,
,,,,,clampToGround,-1,0,-1,,
,,,,,clampToGround,-1,0,-1,,
,,,,,clampToGround,-1,0,-1,,
,,,,,clampToGround,-1,0,-1,,
,,,,,clampToGround,-1,0,-1,,
,,,,,clampToGround,-1,0,-1,,
,,,,,clampToGround,-1,0,-1,,
,,,,,clampToGround,-1,0,-1,,
,,,,,clampToGround,-1,0,-1,,
,,,,,clampToGround,-1,0,-1,,
,,,,,clampToGround,-1,0,-1,,
,,,,,clampToGround,-1,0,-1,,
,,,,,clampToGround,-1,0,-1,,
,,,,,clampToGround,-1,0,-1,,
,,,,,clampToGround,-1,0,-1,,
,,,,,clampToGround,-1,0,-1,,
,,,,,clampToGround,-1,0,-1,,
,,,,,clampToGround,-1,0,-1,,
,,,,,clampToGround,-1,0,-1,,
,,,,,clampToGround,-1,0,-1,,
,,,,,clampToGround,-1,0,-1,,
,,,,,clampToGround,-1,0,-1,,
,,,,,clampToGround,-1,0,-1,,
,,,,,clampToGround,-1,0,-1,,
,,,,,clampToGround,-1,0,-1,,
,,,,,clampToGround,-1,0,-1,,
,,,,,clampToGround,-1,0,-1,,
,,,,,clampToGround,-1,0,-1,,
,,,,,clampToGround,-1,0,-1,,
,,,,,clampToGround,-1,0,-1,,
,,,,,clampToGround,-1,0,-1,,
,,,,,clampToGround,-1,0,-1,,
,,,,,clampToGround,-1,0,-1,,
,,,,,clampToGround,-1,0,-1,,
,,,,,clampToGround,-1,0,-1,,
,,,,,clampToGround,-1,0,-1,,
,,,,,clampToGround,-1,0,-1,,
,,,,,clampToGround,-1,0,-1,,
,,,,,clampToGround,-1,0,-1,,
,,,,,clampToGround,-1,0,-1,,
,,,,,clampToGround,-1,0,-1,,
,,,,,clampToGround,-1,0,-1,,
,,,,,clampToGround,-1,0,-1,,
,,,,,clampToGround,-1,0,-1,,
,,,,,clampToGround,-1,0,-1,,
,,,,,clampToGround,-1,0,-1,,
,,,,,clampToGround,-1,0,-1,,
,,,,,clampToGround,-1,0,-1,,
,,,,,clampToGround,-1,0,-1,,
,,,,,clampToGround,-1,0,-1,,
,,,,,clampToGround,-1,0,-1,,
,,,,,clampToGround,-1,0,-1,,
,,,,,clampToGround,-1,0,-1,,
,,,,,clampToGround,-1,0,-1,,
,,,,,clampToGround,-1,0,-1,,
,,,,,clampToGround,-1,0,-1,,
,,,,,clampToGround,-1,0,-1,,
,,,,,clampToGround,-1,0,-1,,
,,,,,clampToGround,-1,0,-1,,
,,,,,clampToGround,-1,0,-1,,
,,,,,clampToGround,-1,0,-1,,
,,,,,clampToGround,-1,0,-1,,
,,,,,clampToGround,-1,0,-1,,
,,,,,clampToGround,-1,0,-1,,
,,,,,clampToGround,-1,0,-1,,
,,,,,clampToGround,-1,0,-1,,
,,,,,clampToGround,-1,0,-1,,
,,,,,clampToGround,-1,0,-1,,
,,,,,clampToGround,-1,0,-1,,
,,,,,clampToGround,-1,0,-1,,
,,,,,clampToGround,-1,0,-1,,
,,,,,clampToGround,-1,0,-1,,
,,,,,clampToGround,-1,0,-1,,
,,,,,clampToGround,-1,0,-1,,
,,,,,clampToGround,-1,0,-1,,
,,,,,clampToGround,-1,0,-1,,
,,,,,clampToGround,-1,0,-1,,
,,,,,clampToGround,-1,0,-1,,
,,,,,clampToGround,-1,0,-1,,
,,,,,clampToGround,-1,0,-1,,
,,,,,clampToGround,-1,0,-1,,
,,,,,clampToGround,-1,0,-1,,
,,,,,clampToGround,-1,0,-1,,
,,,,,clampToGround,-1,0,-1,,
,,,,,clampToGround,-1,0,-1,,
,,,,,clampToGround,-1,0,-1,,
,,,,,clampToGround,-1,0,-1,,
,,,,,clampToGround,-1,0,-1,,
,,,,,clampToGround,-1,0,-1,,
,,,,,clampToGround,-1,0,-1,,
,,,,,clampToGround,-1,0,-1,,
,,,,,clampToGround,-1,0,-1,,
,,,,,clampToGround,-1,0,-1,,
,,,,,clampToGround,-1,0,-1,,
,,,,,clampToGround,-1,0,-1,,
,,,,,clampToGround,-1,0,-1,,
,,,,,clampToGround,-1,0,-1,,
,,,,,clampToGround,-1,0,-1,,
,,,,,clampToGround,-1,0,-1,,
